name,artists,energy,ranking,danceability,valence,instrumentalness,loudness,duration_ms,tempo,country
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",0.6799585706887623,0.010701275045537306,0.8941018766756033,0.7361729179910999,0.0,-0.3535342391279824,1.2027538687124975,0.7374120419012687,US
HUMBLE.,Kendrick Lamar,0.6250647332988089,0.010546672963188009,0.9276139410187669,0.4087730451366815,5.833333333333333e-05,0.1253167426730596,-0.5358281992591349,1.0733138936482258,US
Grandma's Crib,Tory Lanez,0.6229932677369239,0.010395841663334737,0.5067024128686327,0.155541428268701,0.0,-0.37534666819222917,-1.3354538361403452,-1.1118974522011016,CA
WHERE SHE GOES,Bad Bunny,0.8104609010875194,0.010248644852634659,0.5844504021447722,0.21063784700148336,0.6807359307359307,1.0179222382865325,0.4050373440590644,0.8479222940942952,PR
Talk,Yeat,0.7648886587260487,0.010104952727903571,0.6420911528150134,0.21169739351557532,0.0,0.7612853775775041,-0.572686104701715,0.6974744287862089,US
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",0.8953909891248057,0.009964641594342627,0.47319034852546915,0.1756728120364484,0.0,1.4412196898145713,-0.2829826239388503,0.9996030323984492,US
Swërved It,Yeat,0.7669601242879337,0.009827593510399524,0.46380697050938346,0.4193685102776012,0.0,0.12463510426480195,-1.218636806851496,-1.6546978085609667,US
double take,Dhruv,0.43345416882444326,0.009693695957121884,0.5898123324396783,0.17037507946598857,0.0,-1.4093921335191775,-0.6262444423350302,-0.4499193728879722,US
Fighting My Demons,Ken Carson,0.6654583117555671,0.009562841530054822,0.4075067024128687,0.0067810976901886005,1.0432900432900431e-05,0.7115257737746913,-0.9932927671367575,0.7614343854307197,GB
Believe Me,Navos,0.8891765924391507,0.009434927651910563,0.5536193029490617,0.6461114642932826,1.5043290043290044e-06,0.48863001427441966,-0.34216510299994135,0.1388708822040143,US
Double Fantasy (with Future),"The Weeknd, Future",0.5753495598135681,0.00930985630439185,0.532171581769437,0.09408773045136683,2.792207792207792e-06,-0.09246672876527925,1.0333416575088512,-0.08371873326794359,CA
Bad Habit,Steve Lacy,0.506991196271362,0.009187533777697654,0.6300268096514746,0.6937910574274211,8.127705627705627e-05,-0.03111927202208533,0.4121062190646176,1.7810577129669194,US
Save Your Tears,The Weeknd,0.8363542206110822,0.009067870436366698,0.6206434316353888,0.6450519177791906,1.3095238095238094e-05,0.5175996466253724,0.1285256567980471,-0.12077964272550991,CA
Loop Hole (feat. 21 Savage),"Tee Grizzley, 21 Savage",0.5504919730709478,0.008950780500225353,0.710455764075067,0.48294130112311934,1.1038961038961038e-06,-0.1544958239167308,-0.9798773839145398,1.630609847658833,US
Static,Steve Lacy,0.29777317452097357,0.008836181839321222,0.1595174262734585,0.19050646323373593,0.6829004329004329,-1.927437323795038,-0.8882915946090154,-1.5796046351640824,US
On Time (with John Legend),"Metro Boomin, John Legend",0.6043500776799585,0.008723995781804383,0.19034852546916892,0.4892985802076711,0.0004404761904761905,0.10418595201707045,-0.6747978100739026,-1.4483970605522132,US
3 Nights,Dominic Fike,0.5183842568617297,0.008614146933819233,0.8029490616621984,0.8919262555626193,0.0,0.1403127876547291,-0.5243563266832129,1.1435502946363563,US
Panda,Desiigner,0.7379596064215432,0.008506563010534762,0.6300268096514746,0.2498410680228862,0.0,0.511805720155182,0.6830281633163775,0.8954813039123216,US
Die For You,The Weeknd,0.5256343863283274,0.008401174677521217,0.4959785522788204,0.4998940453485908,0.0,-0.05361333949458975,0.8960575692014904,0.4613232103575003,CA
Thiago Silva,"Dave, AJ Tracey",0.6789228379078198,0.00829791540174063,0.6045576407506703,0.6715405806314898,4.329004329004329e-06,-0.19369003239154928,-0.10646713931113244,0.8583083150914759,US
Snooze,SZA,0.5525634386328327,0.00819672131147553,0.45978552278820384,0.37804619622801444,0.0,-0.0767890453753518,-0.10928780962965,0.8116832999674407,US
Lady Of Namek,Tory Lanez,0.6644225789746245,0.008097531064581887,0.6166219839142092,0.593134138588684,0.0,0.6416578369282758,-0.24354483710738223,0.5119457227718184,CA
goosebumps,Travis Scott,0.7358881408596581,0.008000285724490297,0.8378016085790885,0.4183089637635092,0.0,1.2391139017661599,0.6137153500015862,0.3275378103902161,US
golden hour,JVKE,0.5960642154324184,0.007904928643429399,0.40080428954423597,0.12481457936003391,0.17532467532467533,0.7514016206577674,0.019018291444380546,-1.0017981576734312,US
No Role Modelz,J. Cole,0.5214914552045572,0.007811405352389,0.6353887399463807,0.48611994066539516,0.0,-0.5065620617818392,1.4558230337531524,-0.7940403779420515,GB
SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",0.6354220611082341,0.007719663457368409,0.7453083109919572,0.4214876033057851,0.0,0.655631424297559,-0.6002736363535575,0.021374349699934608,US
Stressed Out,Twenty One Pilots,0.6416364577938892,0.007629652541499388,0.6943699731903485,0.6492901038355584,2.4783549783549784e-05,0.45284399784088997,-0.10012063109446792,1.8192394160572751,US
Oliver Twist,ArrDee,0.8177110305541171,0.007541324072655398,0.6823056300268097,0.8611994066539521,0.0,0.9112458273942008,-0.572686104701715,0.7009862488356151,GB
Dark Red,Steve Lacy,0.7938891765924392,0.007454631316197835,0.5187667560321716,0.7774952320406866,9.004329004329005e-06,1.0165589614700172,-0.6028363185331863,1.8963500179931796,US
Pink + White,Frank Ocean,0.5463490419471777,0.0073695292525191025,0.44101876675603224,0.5443949989404536,5.9307359307359304e-05,-0.12143636111623198,-0.4065589424665862,1.4442592263137297,US
Flawlëss (feat. Lil Uzi Vert),"Yeat, Lil Uzi Vert",0.8177110305541171,0.007285974499089187,0.34048257372654156,0.06028819665183302,0.0,0.3345797340081769,-0.5508775073609817,0.36269337067204105,US
Peaches & Eggplants (feat. 21 Savage),"Young Nudy, 21 Savage",0.537027446918695,0.007203925236712205,0.9316353887399464,0.5814791269336724,4.036796536796536e-06,-0.29934398567149473,-0.07466580139077286,0.92398682197293,CA
Let's Groove,"Earth, Wind & Fire",0.6530295183842568,0.0071233411397346735,0.8753351206434317,0.9162958253867346,2.3484848484848483e-05,-0.5767708178323833,2.255947447702881,0.14021583456336154,US
